,production_dc_kw,production_ac_kw,consumption_kw,grid_power_kw,battery_power_ac_kw,battery_soc_kwh,curtailment_kw,spot_price
2020-01-03 12:00:00,12.33241052631579,11.71579,80.0,68.28421,0.0,0.0,0.0,0.8
2020-01-03 13:00:00,0.15896842105263156,0.15102,78.97777478867206,78.82675478867206,0.0,0.0,0.0,0.7829629131445343
2020-01-03 14:00:00,0.0,0.0,75.98076211353316,75.98076211353316,0.0,0.0,0.0,0.7330127018922192
2020-01-03 15:00:00,0.0,0.0,71.21320343559645,71.21320343559645,0.0,0.0,0.0,0.6535533905932743
2020-01-03 16:00:00,0.0,0.0,65.0,65.0,0.0,0.0,0.0,0.55
2020-01-03 17:00:00,0.0,0.0,57.76457135307558,57.76457135307558,0.0,0.0,0.0,0.42940952255125975
2020-01-03 18:00:00,0.0,0.0,50.00000000000002,50.00000000000002,0.0,0.0,0.0,0.3000000000000004
2020-01-03 19:00:00,0.0,0.0,57.76457135307554,57.76457135307554,0.0,0.0,0.0,0.42940952255125897
2020-01-03 20:00:00,0.0,0.0,64.99999999999997,64.99999999999997,0.0,0.0,0.0,0.5499999999999994
2020-01-03 21:00:00,0.0,0.0,71.21320343559643,71.21320343559643,0.0,0.0,0.0,0.6535533905932738
2020-01-03 22:00:00,0.0,0.0,75.98076211353313,75.98076211353313,0.0,0.0,0.0,0.7330127018922188
2020-01-03 23:00:00,0.0,0.0,78.97777478867205,78.97777478867205,0.0,0.0,0.0,0.7829629131445341
2020-01-04 00:00:00,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.8
2020-01-04 01:00:00,0.0,0.0,78.97777478867206,78.97777478867206,0.0,0.0,0.0,0.7829629131445343
2020-01-04 02:00:00,0.0,0.0,75.98076211353316,75.98076211353316,0.0,0.0,0.0,0.7330127018922192
2020-01-04 03:00:00,0.0,0.0,71.21320343559645,71.21320343559645,0.0,0.0,0.0,0.6535533905932743
2020-01-04 04:00:00,0.0,0.0,65.0000000000001,65.0000000000001,0.0,0.0,0.0,0.5500000000000016
2020-01-04 05:00:00,0.0,0.0,57.76457135307559,57.76457135307559,0.0,0.0,0.0,0.42940952255125975
2020-01-04 06:00:00,0.0,0.0,50.00000000000003,50.00000000000003,0.0,0.0,0.0,0.30000000000000043
2020-01-04 07:00:00,0.0,0.0,57.76457135307564,57.76457135307564,0.0,0.0,0.0,0.42940952255126064
2020-01-04 08:00:00,0.0,0.0,64.99999999999996,64.99999999999996,0.0,0.0,0.0,0.5499999999999994
2020-01-04 09:00:00,1.0602736842105265,1.00726,71.21320343559636,70.20594343559635,0.0,0.0,0.0,0.6535533905932724
2020-01-04 10:00:00,29.41927368421053,27.948310000000003,75.98076211353313,48.032452113533125,0.0,0.0,0.0,0.7330127018922188
2020-01-04 11:00:00,0.9990210526315789,0.94907,78.97777478867204,78.02870478867203,0.0,0.0,0.0,0.782962913144534
2020-01-04 12:00:00,2.864336842105263,2.72112,80.0,77.27888,0.0,0.0,0.0,0.8
2020-01-04 13:00:00,0.8940105263157894,0.8493099999999999,78.97777478867206,78.12846478867206,0.0,0.0,0.0,0.7829629131445344
2020-01-04 14:00:00,0.6767052631578948,0.64287,75.9807621135332,75.3378921135332,0.0,0.0,0.0,0.7330127018922201
2020-01-04 15:00:00,0.0,0.0,71.21320343559645,71.21320343559645,0.0,0.0,0.0,0.6535533905932744
2020-01-04 16:00:00,0.0,0.0,65.00000000000001,65.00000000000001,0.0,0.0,0.0,0.5500000000000002
2020-01-04 17:00:00,0.0,0.0,57.76457135307559,57.76457135307559,0.0,0.0,0.0,0.42940952255125986
2020-01-04 18:00:00,0.0,0.0,50.00000000000003,50.00000000000003,0.0,0.0,0.0,0.3000000000000005
2020-01-04 19:00:00,0.0,0.0,57.76457135307553,57.76457135307553,0.0,0.0,0.0,0.42940952255125886
2020-01-04 20:00:00,0.0,0.0,64.99999999999996,64.99999999999996,0.0,0.0,0.0,0.5499999999999993
2020-01-04 21:00:00,0.0,0.0,71.21320343559643,71.21320343559643,0.0,0.0,0.0,0.6535533905932738
2020-01-04 22:00:00,0.0,0.0,75.98076211353319,75.98076211353319,0.0,0.0,0.0,0.7330127018922197
2020-01-04 23:00:00,0.0,0.0,78.97777478867204,78.97777478867204,0.0,0.0,0.0,0.782962913144534
2020-01-05 00:00:00,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.8
2020-01-05 01:00:00,0.0,0.0,78.97777478867206,78.97777478867206,0.0,0.0,0.0,0.7829629131445344
2020-01-05 02:00:00,0.0,0.0,75.98076211353316,75.98076211353316,0.0,0.0,0.0,0.7330127018922192
2020-01-05 03:00:00,0.0,0.0,71.2132034355964,71.2132034355964,0.0,0.0,0.0,0.6535533905932731
2020-01-05 04:00:00,0.0,0.0,65.00000000000001,65.00000000000001,0.0,0.0,0.0,0.5500000000000003
2020-01-05 05:00:00,0.0,0.0,57.764571353075695,57.764571353075695,0.0,0.0,0.0,0.42940952255126164
2020-01-05 06:00:00,0.0,0.0,50.000000000000036,50.000000000000036,0.0,0.0,0.0,0.30000000000000054
2020-01-05 07:00:00,0.0,0.0,57.76457135307553,57.76457135307553,0.0,0.0,0.0,0.42940952255125886
2020-01-05 08:00:00,0.0,0.0,65.00000000000004,65.00000000000004,0.0,0.0,0.0,0.5500000000000007
2020-01-05 09:00:00,0.0,0.0,71.21320343559643,71.21320343559643,0.0,0.0,0.0,0.6535533905932737
2020-01-05 10:00:00,0.15750526315789465,0.1496299999999999,75.98076211353313,75.83113211353313,0.0,0.0,0.0,0.7330127018922188
2020-01-05 11:00:00,0.9786,0.92967,78.97777478867204,78.04810478867203,0.0,0.0,0.0,0.782962913144534
2020-01-05 12:00:00,0.6767052631578948,0.64287,80.0,79.35713,0.0,0.0,0.0,0.8
2020-01-05 13:00:00,0.08458947368421053,0.08036,78.97777478867204,78.89741478867204,0.0,0.0,0.0,0.7829629131445339
2020-01-05 14:00:00,0.0,0.0,75.98076211353316,75.98076211353316,0.0,0.0,0.0,0.7330127018922192
2020-01-05 15:00:00,0.0,0.0,71.21320343559647,71.21320343559647,0.0,0.0,0.0,0.6535533905932744
2020-01-05 16:00:00,0.0,0.0,65.00000000000001,65.00000000000001,0.0,0.0,0.0,0.5500000000000003
2020-01-05 17:00:00,0.0,0.0,57.7645713530757,57.7645713530757,0.0,0.0,0.0,0.42940952255126164
2020-01-05 18:00:00,0.0,0.0,50.00000000000014,50.00000000000014,0.0,0.0,0.0,0.3000000000000024
2020-01-05 19:00:00,0.0,0.0,57.76457135307563,57.76457135307563,0.0,0.0,0.0,0.4294095225512605
2020-01-05 20:00:00,0.0,0.0,64.99999999999996,64.99999999999996,0.0,0.0,0.0,0.5499999999999992
2020-01-05 21:00:00,0.0,0.0,71.21320343559634,71.21320343559634,0.0,0.0,0.0,0.6535533905932724
2020-01-05 22:00:00,0.0,0.0,75.98076211353312,75.98076211353312,0.0,0.0,0.0,0.7330127018922187
2020-01-05 23:00:00,0.0,0.0,78.97777478867204,78.97777478867204,0.0,0.0,0.0,0.7829629131445339
2020-01-06 00:00:00,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.8
2020-01-06 01:00:00,0.0,0.0,78.97777478867204,78.97777478867204,0.0,0.0,0.0,0.7829629131445339
2020-01-06 02:00:00,0.0,0.0,75.98076211353322,75.98076211353322,0.0,0.0,0.0,0.7330127018922202
2020-01-06 03:00:00,0.0,0.0,71.21320343559647,71.21320343559647,0.0,0.0,0.0,0.6535533905932746
2020-01-06 04:00:00,0.0,0.0,65.00000000000001,65.00000000000001,0.0,0.0,0.0,0.5500000000000003
2020-01-06 05:00:00,0.0,0.0,57.7645713530756,57.7645713530756,0.0,0.0,0.0,0.42940952255126
2020-01-06 06:00:00,0.0,0.0,50.000000000000064,50.000000000000064,0.0,0.0,0.0,0.3000000000000011
2020-01-06 07:00:00,0.0,0.0,57.764571353075524,57.764571353075524,0.0,0.0,0.0,0.42940952255125875
2020-01-06 08:00:00,0.0,0.0,64.99999999999994,64.99999999999994,0.0,0.0,0.0,0.5499999999999992
2020-01-06 09:00:00,0.0,0.0,71.21320343559641,71.21320343559641,0.0,0.0,0.0,0.6535533905932736
2020-01-06 10:00:00,0.15458947368421053,0.14686,75.98076211353317,75.83390211353317,0.0,0.0,0.0,0.7330127018922196
2020-01-06 11:00:00,0.6723368421052632,0.6387200000000001,78.97777478867206,78.33905478867206,0.0,0.0,0.0,0.7829629131445344
2020-01-06 12:00:00,0.4871157894736842,0.46276,80.0,79.53724,0.0,0.0,0.0,0.8
2020-01-06 13:00:00,0.2318842105263157,0.2202899999999999,78.97777478867206,78.75748478867206,0.0,0.0,0.0,0.7829629131445344
2020-01-06 14:00:00,0.0,0.0,75.98076211353316,75.98076211353316,0.0,0.0,0.0,0.7330127018922195
2020-01-06 15:00:00,0.0,0.0,71.21320343559655,71.21320343559655,0.0,0.0,0.0,0.6535533905932758
2020-01-06 16:00:00,0.0,0.0,64.99999999999993,64.99999999999993,0.0,0.0,0.0,0.5499999999999988
